CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Hickory-Lenoir-Morganton, NC",25860,11/02/2022,45.0,Good,PM2.5,37-035-0004,1
"Parkersburg-Vienna, WV",37620,23/04/2022,46.0,Good,Ozone,54-107-1002,1
"Deltona-Daytona Beach-Ormond Beach, FL",19660,13/02/2022,56.0,Moderate,PM2.5,12-127-5002,2
"Riverside-San Bernardino-Ontario, CA",40140,14/02/2022,71.0,Moderate,NO2,06-071-0027,29
"Lewiston, ID-WA",30300,29/10/2022,20.0,Good,PM2.5,16-069-0013,1
"Washington Court House, OH",47920,12/02/2022,29.0,Good,,39-047-9991,1
"Greenville, NC",24780,12/02/2022,60.0,Moderate,PM2.5,37-147-0006,1
"Clinton, IA",17540,24/05/2022,44.0,Good,Ozone,19-045-0021,2
"Des Moines-West Des Moines, IA",19780,13/03/2022,41.0,Good,Ozone,19-153-1579,2
"Espa¤ola, NM",21580,29/09/2022,34.0,Good,Ozone,35-039-0026,1
"Visalia-Porterville, CA",47300,5/03/2022,41.0,Good,Ozone,06-107-2010,3
"Beaver Dam, WI",13180,12/06/2022,34.0,Good,Ozone,55-027-0001,1
"Corsicana, TX",18620,11/04/2022,40.0,Good,,48-349-1051,1
"Fresno, CA",23420,14/05/2022,67.0,Moderate,Ozone,06-019-4001,6
"Victoria, TX",47020,5/02/2022,37.0,Good,Ozone,48-469-0003,1
"Glenwood Springs, CO",24060,10/03/2022,44.0,Good,Ozone,08-045-0012,1
"Louisville/Jefferson County, KY-IN",31140,14/05/2022,48.0,Good,,21-185-0004,5
"St. Cloud, MN",41060,24/04/2022,32.0,Good,Ozone,27-145-3052,1
"Rochester, MN",40340,17/05/2022,36.0,Good,Ozone,27-109-5008,1
"Waterloo-Cedar Falls, IA",47940,22/06/2022,47.0,Good,Ozone,19-017-0011,2
"Columbia, SC",17900,25/05/2022,29.0,Good,Ozone,45-079-1001,5
"Topeka, KS",45820,7/06/2022,51.0,Moderate,Ozone,20-177-0013,1
"Brainerd, MN",14660,8/01/2022,,Good,PM2.5,27-021-3410,2
"San Antonio-New Braunfels, TX",41700,9/05/2022,,Moderate,PM2.5,48-013-1090,5
"Asheville, NC",11700,28/07/2022,,Good,Ozone,37-087-0035,4
"Carson City, NV",16180,16/02/2022,36.0,Good,Ozone,32-510-0020,1
"Vermillion, SD",46820,13/04/2022,30.0,Good,Ozone,46-027-0001,1
"Vallejo-Fairfield, CA",46700,11/03/2022,44.0,Good,Ozone,06-095-3003,3
"Fort Smith, AR-OK",22900,21/03/2022,57.0,Moderate,PM2.5,40-135-9021,1
"Knoxville, TN",28940,19/07/2022,45.0,Good,PM2.5,47-093-1020,6
"Madera, CA",31460,31/01/2022,76.0,Moderate,PM2.5,06-039-2010,2
"Rocky Mount, NC",40580,6/01/2022,18.0,Good,PM2.5,37-065-0099,1
"Fond du Lac, WI",22540,17/04/2022,33.0,Good,Ozone,55-039-0006,1
"Olympia-Tumwater, WA",36500,28/04/2022,12.0,Good,PM2.5,53-067-0013,1
"Klamath Falls, OR",28900,26/05/2022,13.0,Good,PM2.5,41-035-0004,1
"Elkhart-Goshen, IN",21140,12/08/2022,32.0,Good,Ozone,18-039-0007,1
"Bloomington, IL",14010,14/07/2022,47.0,Good,,17-113-2003,1
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,28/06/2022,37.0,Good,Ozone,36-063-1006,5
"Dallas-Fort Worth-Arlington, TX",19100,15/06/2022,80.0,Moderate,PM2.5,48-113-1096,23
"Cape Coral-Fort Myers, FL",15980,22/02/2022,40.0,Good,Ozone,12-071-2002,2
"New York-Newark-Jersey City, NY-NJ-PA",35620,3/08/2022,80.0,Moderate,Ozone,34-029-0006,41
"Shreveport-Bossier City, LA",43340,18/01/2022,45.0,Good,Ozone,22-017-0001,2
"Toledo, OH",45780,16/02/2022,56.0,Moderate,PM2.5,39-095-1003,3
"Memphis, TN-MS-AR",32820,4/01/2022,36.0,Good,PM2.5,47-157-0075,5
"Cadillac, MI",15620,27/04/2022,42.0,Good,Ozone,26-165-9991,2
"Sacramento--Roseville--Arden-Arcade, CA",40900,26/03/2022,58.0,Moderate,Ozone,06-061-0004,11
"Helena, MT",25740,3/02/2022,,Moderate,PM2.5,30-049-0026,2
"Prineville, OR",39260,13/05/2022,10.0,Good,PM2.5,41-013-0100,1
"Provo-Orem, UT",39340,14/05/2022,44.0,Good,Ozone,49-049-5010,2
"Durham-Chapel Hill, NC",20500,30/03/2022,46.0,Good,Ozone,37-145-0003,2
"San Juan-Carolina-Caguas, PR",41980,10/03/2022,19.0,Good,PM10,72-033-0004,3
"Rochester, NY",40380,26/09/2022,28.0,Good,Ozone,36-117-3001,3
"Riverside-San Bernardino-Ontario, CA",40140,1/03/2022,58.0,Moderate,NO2,06-071-0026,28
"Brookings, SD",15100,29/06/2022,87.0,Moderate,PM10,46-011-0003,1
"Augusta-Richmond County, GA-SC",12260,12/04/2022,50.0,Good,Ozone,45-003-0003,4
"Boise City, ID",14260,23/05/2022,45.0,Good,Ozone,16-001-0017,6
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,12/01/2022,61.0,Moderate,PM2.5,36-029-0005,4
"Morristown, TN",34100,4/05/2022,41.0,Good,Ozone,47-089-0002,1
"Vineland-Bridgeton, NJ",47220,5/05/2022,37.0,Good,Ozone,34-011-0007,1
"Ogden-Clearfield, UT",36260,18/09/2022,46.0,Good,Ozone,49-057-1003,2
"Bremerton-Silverdale, WA",14740,11/07/2022,10.0,Good,PM2.5,53-035-0007,1
"Cedar City, UT",16260,13/08/2022,43.0,Good,Ozone,49-021-0005,1
"Rochester, NY",40380,20/06/2022,46.0,Good,Ozone,36-055-1007,3
"Boulder, CO",14500,16/08/2022,44.0,Good,Ozone,08-013-0014,2
"Spartanburg, SC",43900,11/03/2022,31.0,Good,Ozone,45-083-0009,2
"Panama City, FL",37460,8/02/2022,36.0,Good,Ozone,12-005-0006,1
"Bremerton-Silverdale, WA",14740,14/05/2022,11.0,Good,PM2.5,53-035-0007,1
"Brainerd, MN",14660,9/02/2022,13.0,Good,PM2.5,27-021-3410,2
"Rutland, VT",40860,1/05/2022,40.0,Good,Ozone,50-021-0002,1
"Rutland, VT",40860,19/03/2022,34.0,Good,Ozone,50-021-0002,1
"Lafayette-West Lafayette, IN",29200,28/02/2022,41.0,Good,PM2.5,18-157-0008,2
"Clinton, IA",17540,11/06/2022,54.0,Moderate,PM2.5,19-045-0019,2
"Parkersburg-Vienna, WV",37620,20/04/2022,41.0,Good,Ozone,54-107-1002,1
"Vineyard Haven, MA",47240,27/04/2022,33.0,Good,Ozone,25-007-0001,1
"Fond du Lac, WI",22540,27/09/2022,17.0,Good,Ozone,55-039-0006,1
"St. Louis, MO-IL",41180,29/01/2022,50.0,Good,PM2.5,17-163-0010,14
"Allentown-Bethlehem-Easton, PA-NJ",10900,6/05/2022,41.0,Good,,42-095-0025,3
"San Juan-Carolina-Caguas, PR",41980,4/06/2022,35.0,Good,PM2.5,72-061-0005,6
"Rocky Mount, NC",40580,7/07/2022,51.0,Moderate,Ozone,37-065-0099,1
"Lewiston-Auburn, ME",30340,23/03/2022,38.0,Good,Ozone,23-001-0014,2
"Sioux Falls, SD",43620,14/04/2022,81.0,Moderate,PM10,46-099-0009,1
"Killeen-Temple, TX",28660,28/06/2022,90.0,Moderate,Ozone,48-027-1047,2
"Salt Lake City, UT",41620,16/09/2022,51.0,Moderate,Ozone,49-035-3013,9
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,6/09/2022,30.0,Good,Ozone,24-033-8003,2
"Cleveland-Elyria, OH",17460,27/03/2022,36.0,Good,Ozone,39-085-0003,15
"Cheyenne, WY",16940,17/03/2022,41.0,Good,Ozone,56-021-0100,1
"Michigan City-La Porte, IN",33140,10/01/2022,,Good,Ozone,18-091-0010,2
"Show Low, AZ",43320,2/05/2022,84.0,Moderate,Ozone,04-017-0119,1
"Lubbock, TX",31180,30/06/2022,24.0,Good,PM2.5,48-303-1028,1
"Fairbanks, AK",21820,13/01/2022,55.0,Moderate,,02-090-0034,3
"Omaha-Council Bluffs, NE-IA",36540,24/02/2022,41.0,Good,PM2.5,31-153-0007,4
"Jackson, TN",27180,7/03/2022,11.0,Good,PM2.5,47-113-0010,1
"Fayetteville-Springdale-Rogers, AR-MO",22220,18/06/2022,21.0,Good,Ozone,05-143-0005,2
"Houston-The Woodlands-Sugar Land, TX",26420,12/06/2022,,Unhealthy for Sensitive Groups,PM2.5,48-167-1034,24
"Scranton--Wilkes-Barre--Hazleton, PA",42540,28/01/2022,71.0,Moderate,PM2.5,42-069-2006,2
"Pittsburgh, PA",38300,16/07/2022,52.0,Moderate,PM2.5,42-005-0001,7
"Bozeman, MT",14580,23/07/2022,30.0,Good,PM2.5,30-031-0017,2
"Greeley, CO",24540,20/07/2022,97.0,Moderate,Ozone,08-123-0009,3
"Provo-Orem, UT",39340,20/06/2022,46.0,Good,Ozone,49-049-4001,2
"Farmington, NM",22140,16/09/2022,41.0,Good,Ozone,35-045-0018,4
"Milwaukee-Waukesha-West Allis, WI",33340,30/04/2022,52.0,Moderate,PM2.5,55-133-0027,7
"Chattanooga, TN-GA",16860,12/02/2022,52.0,Moderate,PM2.5,13-295-0004,2
"Keene, NH",28300,27/02/2022,42.0,Good,Ozone,33-005-0007,1
"Lakeland-Winter Haven, FL",29460,9/05/2022,51.0,Moderate,Ozone,12-105-6005,2
"Bay City, MI",13020,22/01/2022,37.0,Good,PM2.5,26-017-0014,1
"El Centro, CA",20940,22/01/2022,56.0,Moderate,PM10,06-025-0010,6
"Gettysburg, PA",23900,7/10/2022,3.0,Good,NO2,42-001-0001,1
"Trenton, NJ",45940,4/01/2022,31.0,Good,Ozone,34-021-9991,3
"McAllen-Edinburg-Mission, TX",32580,14/05/2022,40.0,Good,Ozone,48-215-0043,2
"Appleton, WI",11540,28/01/2022,30.0,Good,,55-087-0009,1
"Valdosta, GA",46660,31/01/2022,49.0,Good,PM2.5,13-185-0003,1
"Bellingham, WA",13380,23/03/2022,31.0,Good,Ozone,53-073-0005,2
"Crescent City, CA",18860,4/02/2022,43.0,Good,PM2.5,06-015-0007,1
"Peoria, IL",37900,14/07/2022,47.0,Good,,17-143-0024,3
"Davenport-Moline-Rock Island, IA-IL",19340,16/10/2022,34.0,Good,PM10,19-163-0017,3
"Beatrice, NE",13100,19/03/2022,2.0,Good,PM2.5,31-067-0005,1
"Fort Wayne, IN",23060,8/06/2022,45.0,Good,Ozone,18-003-0002,2
"Watertown-Fort Atkinson, WI",48020,11/05/2022,49.0,Good,Ozone,55-055-0009,1
"Portland-Vancouver-Hillsboro, OR-WA",38900,8/02/2022,65.0,Moderate,PM2.5,41-051-2011,9
"Lubbock, TX",31180,1/03/2022,21.0,Good,PM2.5,48-303-1028,1
"Kalamazoo-Portage, MI",28020,2/05/2022,35.0,Good,Ozone,26-077-0008,1
"Lewiston-Auburn, ME",30340,23/09/2022,25.0,Good,Ozone,23-001-0014,2
"Beaver Dam, WI",13180,14/07/2022,33.0,Good,Ozone,55-027-0001,1
"Columbus, OH",18140,23/09/2022,20.0,Good,PM2.5,39-049-0040,4
"Corpus Christi, TX",18580,8/03/2022,23.0,Good,Ozone,48-355-0026,4
"Houma-Thibodaux, LA",26380,5/07/2022,35.0,Good,PM2.5,22-057-0004,1
"Pensacola-Ferry Pass-Brent, FL",37860,10/06/2022,42.0,Good,Ozone,12-033-0018,3
"Laramie, WY",29660,3/02/2022,68.0,Moderate,NO2,56-001-0011,7
"Platteville, WI",38420,6/07/2022,18.0,Good,PM2.5,55-043-0009,1
"Augusta-Waterville, ME",12300,6/06/2022,25.0,Good,Ozone,23-011-2001,1
"Somerset, PA",43740,4/01/2022,30.0,Good,Ozone,42-111-9991,1
"Greenfield Town, MA",24640,5/01/2022,56.0,Moderate,PM2.5,25-011-2005,1
"Indiana, PA",26860,3/04/2022,38.0,Good,Ozone,42-063-0004,1
"Cincinnati, OH-KY-IN",17140,4/03/2022,,Good,Ozone,39-025-0022,13
"Atlantic City-Hammonton, NJ",12100,17/09/2022,37.0,Good,Ozone,34-001-0006,2
"Dallas-Fort Worth-Arlington, TX",19100,27/07/2022,64.0,Moderate,Ozone,48-121-0034,20
"Logan, UT-ID",30860,7/02/2022,62.0,Moderate,PM2.5,49-005-0007,2
"Yuma, AZ",49740,14/02/2022,43.0,Good,PM10,04-027-8011,1
"Houston-The Woodlands-Sugar Land, TX",26420,17/02/2022,55.0,Moderate,PM2.5,48-201-0058,23
"Fort Smith, AR-OK",22900,31/05/2022,19.0,Good,,40-135-9021,1
"Greensboro-High Point, NC",24660,1/04/2022,43.0,Good,Ozone,37-081-0013,2
"Atlantic City-Hammonton, NJ",12100,30/03/2022,,Good,PM2.5,34-001-0006,2
"Billings, MT",13740,4/03/2022,15.0,Good,PM2.5,30-111-0087,1
"Valdosta, GA",46660,22/02/2022,44.0,Good,PM2.5,13-185-0003,1
"Middlesborough, KY",33180,8/03/2022,32.0,Good,Ozone,21-013-0002,1
"Deming, NM",19700,29/01/2022,11.0,Good,PM10,35-029-0003,1
"Los Angeles-Long Beach-Anaheim, CA",31080,5/01/2022,94.0,Moderate,PM2.5,06-037-1302,20
"Lawrenceburg, TN",29980,22/06/2022,54.0,Moderate,PM2.5,47-099-0003,1
"Tampa-St. Petersburg-Clearwater, FL",45300,9/03/2022,50.0,Good,PM2.5,12-057-1065,15
"Green Bay, WI",24580,31/01/2022,64.0,Moderate,PM2.5,55-009-0005,1
"Cedar City, UT",16260,1/02/2022,34.0,Good,Ozone,49-021-0005,1
"Riverton, WY",40180,24/02/2022,43.0,Good,Ozone,56-013-0099,4
"Decatur, IL",19500,6/05/2022,35.0,Good,Ozone,17-115-0013,1
"Arkadelphia, AR",11660,26/07/2022,37.0,Good,Ozone,05-019-9991,1
"Hickory-Lenoir-Morganton, NC",25860,8/06/2022,38.0,Good,PM2.5,37-035-0004,3
"Huntsville, AL",26620,24/06/2022,97.0,Moderate,Ozone,01-089-0014,3
"Cadillac, MI",15620,19/05/2022,50.0,Good,Ozone,26-165-9991,2
"Nogales, AZ",35700,23/04/2022,32.0,Good,PM2.5,04-023-0004,1
"Lake Havasu City-Kingman, AZ",29420,12/09/2022,6.0,Good,PM10,04-015-1003,1
"Gulfport-Biloxi-Pascagoula, MS",25060,1/09/2022,58.0,Moderate,Ozone,28-059-0006,3
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,13/07/2022,34.0,Good,PM2.5,51-650-0008,3
"Aberdeen, WA",10140,27/05/2022,9.0,Good,PM2.5,53-027-2002,1
"Michigan City-La Porte, IN",33140,2/03/2022,37.0,Good,Ozone,18-091-0005,2
"Mount Vernon-Anacortes, WA",34580,17/04/2022,90.0,Moderate,Ozone,53-057-0011,2
"Lawton, OK",30020,6/04/2022,45.0,Good,Ozone,40-031-0651,1
"Spartanburg, SC",43900,25/04/2022,46.0,Good,PM2.5,45-083-0011,2
"Kingsport-Bristol-Bristol, TN-VA",28700,15/03/2022,46.0,Good,,47-163-2003,4
"Gettysburg, PA",23900,23/02/2022,33.0,Good,Ozone,42-001-9991,2
"Worcester, MA-CT",49340,20/08/2022,80.0,Moderate,Ozone,09-015-9991,1
"Kansas City, MO-KS",28140,8/02/2022,48.0,Good,PM10,29-095-0018,8
"Winston-Salem, NC",49180,2/05/2022,53.0,Moderate,PM2.5,37-057-0002,4
"Flint, MI",22420,13/06/2022,58.0,Moderate,Ozone,26-049-0021,2
"Eau Claire, WI",20740,10/07/2022,33.0,Good,PM2.5,55-035-0014,1
"Lewiston, ID-WA",30300,28/08/2022,30.0,Good,PM2.5,16-069-0013,1
"Othello, WA",36830,19/05/2022,6.0,Good,PM2.5,53-001-0003,1
"Des Moines-West Des Moines, IA",19780,17/07/2022,42.0,Good,,19-153-0030,2
"Fairbanks, AK",21820,20/02/2022,76.0,Moderate,PM2.5,02-090-0035,3
"Winston-Salem, NC",49180,13/04/2022,52.0,Moderate,PM2.5,37-067-0030,4
"Madera, CA",31460,29/04/2022,50.0,Good,Ozone,06-039-2010,1
"Bremerton-Silverdale, WA",14740,11/04/2022,17.0,Good,PM2.5,53-035-0007,1
"Gettysburg, PA",23900,1/02/2022,72.0,Moderate,PM2.5,42-001-0001,2
"Columbus, GA-AL",17980,11/06/2022,48.0,Good,PM2.5,01-113-0003,2
"Cape Coral-Fort Myers, FL",15980,17/03/2022,33.0,Good,Ozone,12-071-2002,2
"Iowa City, IA",26980,12/01/2022,35.0,Good,PM2.5,19-103-2001,1
"Sayre, PA",42380,27/05/2022,24.0,Good,Ozone,42-015-0011,1
"McAlester, OK",32540,21/07/2022,61.0,Moderate,Ozone,40-121-0415,1
"Fort Payne, AL",22840,13/02/2022,34.0,Good,Ozone,01-049-9991,2
"Butte-Silver Bow, MT",15580,11/08/2022,19.0,Good,,30-093-0005,1
"Birmingham-Hoover, AL",13820,18/06/2022,67.0,Moderate,Ozone,01-073-0023,10
"Ardmore, OK",11620,30/03/2022,39.0,Good,PM2.5,40-019-0297,2
"Whitewater-Elkhorn, WI",48580,23/08/2022,38.0,Good,Ozone,55-127-0006,1
"Brainerd, MN",14660,16/02/2022,38.0,Good,PM2.5,27-021-3410,2
"Prineville, OR",39260,9/05/2022,8.0,Good,PM2.5,41-013-0100,1
"Gulfport-Biloxi-Pascagoula, MS",25060,5/05/2022,31.0,Good,PM2.5,28-047-0008,3
"Ardmore, OK",11620,18/01/2022,26.0,Good,PM2.5,40-019-0297,1
"Payson, AZ",37740,28/06/2022,74.0,Moderate,Ozone,04-007-0010,4
"Aberdeen, SD",10100,29/04/2022,28.0,Good,PM2.5,46-013-0004,1
"Sacramento--Roseville--Arden-Arcade, CA",40900,4/01/2022,38.0,Good,Ozone,06-061-1004,15
"Toledo, OH",45780,15/08/2022,45.0,Good,Ozone,39-095-0027,6
"Minot, ND",33500,28/08/2022,31.0,Good,Ozone,38-101-0003,1
"Ludington, MI",31220,1/06/2022,28.0,Good,Ozone,26-105-0007,1
"Urban Honolulu, HI",46520,7/06/2022,21.0,Good,PM2.5,15-003-0010,3
"Tucson, AZ",46060,11/02/2022,51.0,Moderate,PM10,04-019-0020,15
"Albany-Schenectady-Troy, NY",10580,19/04/2022,32.0,Good,Ozone,36-091-0004,3
"Reading, PA",39740,5/07/2022,42.0,Good,PM2.5,42-011-0011,1
"Homosassa Springs, FL",26140,23/03/2022,42.0,Good,PM2.5,12-017-0006,1
"Rock Springs, WY",40540,21/06/2022,51.0,Moderate,Ozone,56-037-0300,16
"Allentown-Bethlehem-Easton, PA-NJ",10900,26/09/2022,33.0,Good,PM2.5,34-041-0007,3
"Joplin, MO",27900,3/03/2022,108.0,Unhealthy for Sensitive Groups,Ozone,29-097-0004,2
"Fort Collins, CO",22660,15/05/2022,58.0,Moderate,Ozone,08-069-0007,4
"Watertown-Fort Drum, NY",48060,10/04/2022,29.0,Good,Ozone,36-045-0002,1
"Modesto, CA",33700,4/01/2022,60.0,Moderate,PM2.5,06-099-0006,2
"Pullman, WA",39420,30/03/2022,12.0,Good,PM2.5,53-075-0003,3
"Utica-Rome, NY",46540,16/06/2022,34.0,Good,PM2.5,36-065-2001,1
"St. Cloud, MN",41060,11/01/2022,24.0,Good,,27-145-3052,1
"Laramie, WY",29660,24/05/2022,49.0,Good,Ozone,56-001-9991,6
"York-Hanover, PA",49620,15/06/2022,64.0,Moderate,Ozone,42-133-0011,2
"Yuma, AZ",49740,22/09/2022,31.0,Good,Ozone,04-027-8011,1
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,14/03/2022,48.0,Good,Ozone,45-051-0008,1
"Moses Lake, WA",34180,15/01/2022,28.0,Good,PM2.5,53-025-1002,2
"Laramie, WY",29660,2/02/2022,42.0,Good,Ozone,56-001-9991,6
"Vineyard Haven, MA",47240,5/06/2022,35.0,Good,Ozone,25-007-0001,1
"Harrisonburg, VA",25500,27/06/2022,35.0,Good,Ozone,51-165-0003,1
"Salem, OR",41420,23/06/2022,37.0,Good,,41-047-0004,4
"Iowa City, IA",26980,27/07/2022,43.0,Good,PM2.5,19-103-2001,1
"Columbia, SC",17900,2/05/2022,42.0,Good,Ozone,45-079-1001,4
"Valdosta, GA",46660,12/08/2022,42.0,Good,PM2.5,13-185-0003,1
"Kansas City, MO-KS",28140,10/03/2022,40.0,Good,,20-091-0010,11
"Huntington-Ashland, WV-KY-OH",26580,3/01/2022,26.0,Good,PM2.5,21-019-0017,2
"Santa Rosa, CA",42220,21/03/2022,34.0,Good,Ozone,06-097-0004,4
"Houma-Thibodaux, LA",26380,20/03/2022,44.0,Good,Ozone,22-057-0004,1
"Macon, GA",31420,27/08/2022,30.0,Good,PM2.5,13-021-0012,1
"Atlanta-Sandy Springs-Roswell, GA",12060,19/04/2022,47.0,Good,Ozone,13-151-0002,11
"Janesville-Beloit, WI",27500,18/04/2022,31.0,Good,Ozone,55-105-0030,1
"Evanston, WY",21740,5/05/2022,6.0,Good,PM10,56-041-0201,2
"Morehead City, NC",33980,14/02/2022,33.0,Good,Ozone,37-031-9991,1
"Idaho Falls, ID",26820,8/01/2022,42.0,Good,Ozone,16-023-0101,2
"Deming, NM",19700,17/06/2022,58.0,Moderate,PM10,35-029-0003,1
"Fort Wayne, IN",23060,28/07/2022,42.0,Good,Ozone,18-003-0002,2
"Fargo, ND-MN",22020,17/01/2022,40.0,Good,,38-017-1004,1
"Sebastian-Vero Beach, FL",42680,15/05/2022,36.0,Good,Ozone,12-061-9991,1
"Johnstown, PA",27780,31/03/2022,56.0,Moderate,PM2.5,42-021-0011,1
"Providence-Warwick, RI-MA",39300,27/06/2022,36.0,Good,Ozone,44-009-0008,7
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,30/08/2022,34.0,Good,Ozone,36-029-0002,5
"Port St. Lucie, FL",38940,7/02/2022,38.0,Good,PM2.5,12-085-0007,2
"Vallejo-Fairfield, CA",46700,9/02/2022,45.0,Good,PM2.5,06-095-0004,3
"Altoona, PA",11020,28/05/2022,35.0,Good,Ozone,42-013-0801,1
"Lincoln, NE",30700,24/04/2022,33.0,Good,,31-109-0016,1
"Flint, MI",22420,27/05/2022,29.0,Good,Ozone,26-049-2001,2
"Lansing-East Lansing, MI",29620,12/05/2022,74.0,Moderate,Ozone,26-065-0018,2
"Bloomington, IL",14010,30/07/2022,39.0,Good,Ozone,17-113-2003,1
"Hobbs, NM",26020,16/01/2022,37.0,Good,,35-025-0008,1
"Juneau, AK",27940,15/01/2022,26.0,Good,PM2.5,02-110-0004,1
"Jackson, TN",27180,21/04/2022,32.0,Good,PM2.5,47-113-0010,1
"Twin Falls, ID",46300,20/02/2022,9.0,Good,PM2.5,16-083-0007,1
"Marshall, MN",32140,17/05/2022,39.0,Good,Ozone,27-083-4210,1
"La Crosse-Onalaska, WI-MN",29100,26/09/2022,27.0,Good,Ozone,55-063-0012,1
"Juneau, AK",27940,8/04/2022,11.0,Good,PM2.5,02-110-0004,1
"Lansing-East Lansing, MI",29620,6/01/2022,33.0,Good,,26-065-0018,1
"Lewiston, ID-WA",30300,7/03/2022,55.0,Moderate,,53-003-0004,2
"Champaign-Urbana, IL",16580,14/09/2022,43.0,Good,Ozone,17-019-0007,2
"Summerville, GA",44900,6/03/2022,32.0,Good,Ozone,13-055-0001,1
"Charlottesville, VA",16820,17/05/2022,54.0,Moderate,Ozone,51-003-0001,1
"Sayre, PA",42380,4/07/2022,28.0,Good,PM2.5,42-015-0011,1
"Janesville-Beloit, WI",27500,9/08/2022,38.0,Good,Ozone,55-105-0030,1
"Mount Vernon, IL",34500,25/09/2022,40.0,Good,Ozone,17-065-0002,1
"Ithaca, NY",27060,12/03/2022,40.0,Good,Ozone,36-109-9991,1
"Tuscaloosa, AL",46220,21/04/2022,42.0,Good,Ozone,01-125-0011,1
"Bishop, CA",13860,6/10/2022,21.0,Good,PM2.5,06-027-1018,1
"Indianapolis-Carmel-Anderson, IN",26900,5/06/2022,90.0,Moderate,Ozone,18-011-0001,11
"Cleveland, MS",17380,30/03/2022,41.0,Good,Ozone,28-011-0002,1
"Fort Wayne, IN",23060,9/05/2022,42.0,Good,Ozone,18-003-0002,2
"New Haven-Milford, CT",35300,17/01/2022,35.0,Good,Ozone,09-009-0027,2
"Bakersfield, CA",12540,7/02/2022,107.0,Unhealthy for Sensitive Groups,PM2.5,06-029-0016,13
"Lebanon, PA",30140,3/03/2022,37.0,Good,Ozone,42-075-0101,1
"McAlester, OK",32540,20/04/2022,43.0,Good,PM2.5,40-121-0415,1
"Pueblo, CO",39380,12/04/2022,69.0,Moderate,PM10,08-101-0015,1
"New Castle, PA",35260,20/06/2022,37.0,Good,Ozone,42-073-0015,1
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,14/05/2022,46.0,Good,Ozone,47-187-0106,8
"Burlington-South Burlington, VT",15540,16/03/2022,53.0,Moderate,PM2.5,50-007-0014,2
"Fort Collins, CO",22660,15/01/2022,50.0,Good,Ozone,08-069-0007,4
"Winchester, VA-WV",49020,29/06/2022,46.0,Good,Ozone,51-069-0010,1
"Baltimore-Columbia-Towson, MD",12580,6/04/2022,43.0,Good,Ozone,24-005-1007,9
"Idaho Falls, ID",26820,28/05/2022,44.0,Good,Ozone,16-023-0101,2
"Rock Springs, WY",40540,23/03/2022,44.0,Good,Ozone,56-037-0200,15
"Panama City, FL",37460,9/05/2022,36.0,Good,Ozone,12-005-0006,1
"Evansville, IN-KY",21780,29/07/2022,34.0,Good,Ozone,18-173-0011,6
"Bremerton-Silverdale, WA",14740,26/07/2022,34.0,Good,PM2.5,53-035-0007,1
"Greenville, NC",24780,6/04/2022,44.0,Good,Ozone,37-147-0006,1
"Akron, OH",10420,27/05/2022,38.0,Good,Ozone,39-133-1001,3
"Sheridan, WY",43260,6/01/2022,11.0,Good,PM2.5,56-033-0002,1
"Redding, CA",39820,10/04/2022,44.0,Good,Ozone,06-089-3003,1
"Kingsport-Bristol-Bristol, TN-VA",28700,10/01/2022,5.0,Good,PM2.5,47-163-1007,1
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,8/06/2022,31.0,Good,Ozone,45-051-0008,1
"Utica-Rome, NY",46540,4/08/2022,23.0,Good,PM2.5,36-065-2001,1
"Othello, WA",36830,3/01/2022,15.0,Good,PM2.5,53-001-0003,1
"Reading, PA",39740,6/02/2022,33.0,Good,PM2.5,42-011-0011,1
"Erie, PA",21500,29/04/2022,40.0,Good,Ozone,42-049-0003,1
"Macon, GA",31420,13/04/2022,56.0,Moderate,PM2.5,13-021-0012,1
"Wichita, KS",48620,12/02/2022,32.0,Good,Ozone,20-191-0002,3
"Somerset, PA",43740,12/03/2022,39.0,Good,Ozone,42-111-9991,1
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,6/04/2022,44.0,Good,Ozone,36-029-0002,5
"Worcester, MA-CT",49340,22/01/2022,42.0,Good,PM2.5,25-027-0023,4
"Fargo, ND-MN",22020,24/04/2022,34.0,Good,Ozone,38-017-1004,1
"Rock Springs, WY",40540,12/06/2022,53.0,Moderate,PM10,56-037-0898,16
"Bremerton-Silverdale, WA",14740,16/01/2022,24.0,Good,PM2.5,53-035-0007,1
"Rocky Mount, NC",40580,1/04/2022,44.0,Good,Ozone,37-065-0099,1
"Bridgeport-Stamford-Norwalk, CT",14860,15/05/2022,42.0,Good,Ozone,09-001-1123,5
"Florence, SC",22500,1/05/2022,47.0,Good,Ozone,45-031-0003,1
"Baton Rouge, LA",12940,8/07/2022,33.0,Good,Ozone,22-033-0013,9
"Lancaster, PA",29540,20/09/2022,16.0,Good,PM10,42-071-0007,1
"Deming, NM",19700,25/01/2022,9.0,Good,PM10,35-029-0003,1
